rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,year,lcia_method,impact,impact_unit,process,absolute_lca,contrib_absolute_lca,contrib_lca_ratio,absolute_lca_per_kwh,contrib_absolute_lca_per_kwh
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ozone depletion, stratospheric O3 concentration",SOD,DU,"heat and power co-generation, wood chips, 6667 kW",0.00068816199999999998,4.9909144448671157e-05,0.072525283942837818,9.7973012357077378e-16,6.2054763197252341e-15
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,EU electricity market imports,29454639502,20962305302.114647,0.71168093232617169,0.041934281752256032,0.2063772240721746
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,Other life cycle contributions,29454639502,3618638360.9512601,0.12285461381068849,0.041934281752256032,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,Transmission corona,29454639502,0,0,0.041934281752256032,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,"electricity production, hydro, reservoir, alpine region",29454639502,0,0,0.041934281752256032,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,"electricity production, photovoltaic",29454639502,2957676913.0524483,0.10041463630378565,0.041934281752256032,0.013387407159352624
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,"electricity production, wind, 1-3MW turbine, offshore",29454639502,1916018925.8816483,0.065049817559354225,0.041934281752256032,0.010445832641300242
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,"electricity production, wind, 1-3MW turbine, onshore",29454639502,0,0,0.041934281752256032,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,"heat and power co-generation, wood chips, 6667 kW",29454639502,0,0,0.041934281752256032,0
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,EU electricity market imports,0.00013934700000000001,3.2227961985769657e-05,0.23127847736779159,1.9838716864757371e-16,3.1728973816612748e-16
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,Other life cycle contributions,0.00013934700000000001,8.6217976020816825e-06,0.061872861289311437,1.9838716864757371e-16,
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,Transmission corona,0.00013934700000000001,0,0,1.9838716864757371e-16,
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, hydro, reservoir, alpine region",0.00013934700000000001,0,0,1.9838716864757371e-16,0
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, photovoltaic",0.00013934700000000001,2.1049113587272053e-05,0.1510553767736087,1.9838716864757371e-16,9.52752312046988e-17
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, wind, 1-3MW turbine, offshore",0.00013934700000000001,2.3309197523597417e-05,0.16727448401183675,1.9838716864757371e-16,1.2707819862641312e-16
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, wind, 1-3MW turbine, onshore",0.00013934700000000001,1.1149202528910973e-05,0.08001035206291468,1.9838716864757371e-16,8.8502732590040494e-17
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"heat and power co-generation, wood chips, 6667 kW",0.00013934700000000001,4.298972677236825e-05,0.30850844849453701,1.9838716864757371e-16,5.3451495960965314e-15
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,transmission network construction,0.00013934700000000001,0,0,1.9838716864757371e-16,
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,EU electricity market imports,0.030018019999999999,0.028107679650652043,0.93636021465279995,4.2736361480952592e-14,2.7672457186569767e-13
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,Other life cycle contributions,0.030018019999999999,0.0019103403493479583,0.063639785347200065,4.2736361480952592e-14,
reference,m0,SSP1,image,SSP1-M,2.5-2.8,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,Transmission corona,0.030018019999999999,0,0,4.2736361480952592e-14,
