rte_consumption_scenario,rte_production_scenario,lcia_method,impact,impact_unit,year,value
reference,m1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2023,0.018857628449746401
reference,m1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2024,0.018659426067120701
reference,m1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2025,0.018457433432147299
reference,m23,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2019,0.019612535456771898
reference,m23,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2020,0.019429494083537099
reference,m23,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2021,0.019242662457954501
reference,m23,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2022,0.019052040580024299
reference,m23,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2023,0.018857628449746401
reference,m23,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2024,0.018659426067120701
reference,m23,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2025,0.018457433432147299
reference,n1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2019,0.019612535456771898
reference,n1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2020,0.019429494083537099
reference,n1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2021,0.019242662457954501
reference,n1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2022,0.019052040580024299
reference,n1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2023,0.018857628449746401
reference,n1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2024,0.018659426067120701
reference,n1,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2025,0.018457433432147299
reference,n2,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2019,0.019612535456771898
reference,n2,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2020,0.019429494083537099
reference,n2,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2021,0.019242662457954501
reference,n2,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2022,0.019052040580024299
reference,n2,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2023,0.018857628449746401
reference,n2,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,2024,0.018659426067120701
