country,sector,year,summary_level,fu_ratio,ratio_label,row_count,ratio_count,num_zero_den_positive_count,mean,p5,p25,p50,p75,p95
ES,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8391505138329983,0.2761773122484925,1.0,1.0,1.0,1.0
ES,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
FI,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9285157958636489,0.6068368772500685,1.0,1.0,1.0,1.0
FI,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8689456257500229,0.41025531587510283,1.0,1.0,1.0,1.0
FI,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
FR,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.924326115089881,0.5789811835341863,1.0,1.0,1.0,1.0
FR,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8692852934317138,0.411783820442712,1.0,1.0,1.0,1.0
FR,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.9793669367480482,0.9071512153662169,1.0,1.0,1.0,1.0
GB,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.943355048082769,0.6884527644552292,1.0,1.0,1.0,1.0
GB,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8961509214850764,0.5326791466828438,1.0,1.0,1.0,1.0
GB,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
GR,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9347192774113289,0.6409560257623088,1.0,1.0,1.0,1.0
GR,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8803186752541029,0.46143403864346333,1.0,1.0,1.0,1.0
GR,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
HR,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9503961598466091,0.7271788791563498,1.0,1.0,1.0,1.0
HR,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.9090596263854499,0.5907683187345247,1.0,1.0,1.0,1.0
HR,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
HU,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9493479771209038,0.7214138741649708,1.0,1.0,1.0,1.0
HU,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.9071379580549902,0.5821208112474562,1.0,1.0,1.0,1.0
HU,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
ID,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9178415780658029,0.5481286793619166,1.0,1.0,1.0,1.0
ID,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8493762264539723,0.3221930190428748,1.0,1.0,1.0,1.0
ID,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
IE,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9241366741234773,0.5827517076791253,1.0,1.0,1.0,1.0
IE,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8609172358930417,0.374127561518688,1.0,1.0,1.0,1.0
IE,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
